Date,Conference,Location,Link,EventID,StartDate,EndDate,Deadline,VenueDetail,About,Email,Website,Contact,Organizer,Price
05May,International Conference on Computer science and Information Technology (ICCSIT),"Saharanpur,India",https://www.conferencealerts.in/events/2079856,CA2079856,2026-05-05,2026-05-05,2026-04-16,"Saharanpur , India",The key intention of ICCSIT is to provide opportunity for the global participants to share their ideas and experience in person with their peers expected to join from different parts on the world. In addition this gathering will help the delegates to establish research or business relations as well as to find international linkage for future collaborations in their career path. We hope that ICCSIT outcome will lead to significant contributions to the knowledge base in these up-to-date scientific fields in scope.,papers.issrd@gmail.com,http://issrd.org/Conference/41910/ICCSIT/,Conference Coordinator,Issrd,"₹4,205 (Special price for India)"
05May,International Conference on Computer science and Information Technology (ICCSIT),"Bilaspur,India",https://www.conferencealerts.in/events/2079847,CA2079847,2026-05-05,2026-05-05,2026-04-16,"Bilaspur , India",The key intention of ICCSIT is to provide opportunity for the global participants to share their ideas and experience in person with their peers expected to join from different parts on the world. In addition this gathering will help the delegates to establish research or business relations as well as to find international linkage for future collaborations in their career path. We hope that ICCSIT outcome will lead to significant contributions to the knowledge base in these up-to-date scientific fields in scope.,papers.issrd@gmail.com,http://issrd.org/Conference/41919/ICCSIT/,Conference Coordinator,Issrd,"₹4,205 (Special price for India)"
05May,"National Conference on Advances in Electrical, Electronics & Computer Engineering (NCAEECE)","Tiruchengode,India",https://www.conferencealerts.in/events/2079094,CA2079094,2026-05-05,2026-05-05,2026-04-16,"Tiruchengode , India","National Conference on Advances in Electrical, Electronics & Computer Engineering NCAEECE. NCAEECE addresses the rapid strides and technological advancements currently witnessed in the fields of .

English is the official language of the conference. We welcome paper submissions. Papers presented in the conference will be submitted for inclusion into Conference proceedings.",info@nationalconferences.org,http://nationalconferences.org/Conference/21767/NCAEECE/,Conference Coordinator,Nationalconferences,"₹2,336 (Special price for India)"
05May,"National Conference on Advances in Electrical, Electronics & Computer Engineering (NCAEECE)","Solapur,India",https://www.conferencealerts.in/events/2079090,CA2079090,2026-05-05,2026-05-05,2026-04-16,"Solapur , India","National Conference on Advances in Electrical, Electronics & Computer Engineering NCAEECE. NCAEECE addresses the rapid strides and technological advancements currently witnessed in the fields of .

English is the official language of the conference. We welcome paper submissions. Papers presented in the conference will be submitted for inclusion into Conference proceedings.",info@nationalconferences.org,http://nationalconferences.org/Conference/21771/NCAEECE/,Conference Coordinator,Nationalconferences,"₹2,336 (Special price for India)"
05May,"International Conference on Electrical, Electronics & Computer Science (ICEECS)","Kodaikanal,India",https://www.conferencealerts.in/events/2078444,CA2078444,2026-05-05,2026-05-05,2026-04-16,"Kodaikanal , India","The conference is aiming at facilitating the exchange of ideas and developments in all aspects of   Electrical, Electronics & Computer Science topics. This conference provides opportunities for the different areas delegates to exchange new ideas and application experiences face to face, to establish business or research relations and to find global partners for future collaboration. We hope that the conference results constituted significant contribution to the knowledge in these up to date scientific field. The organizing committee of conference is pleased to invite prospective authors to submit their original manuscripts to ICEECS",papers.iistem@gmail.com,http://iistem.org/Conference/31762/ICEECS/,Conference Coordinator,Iistem,"₹2,336 (Special price for India)"
05May,International Conference on Advanced Computer Science and Information Technology (ICACSIT),"Chitradurga,India",https://www.conferencealerts.in/events/2077499,CA2077499,2026-05-05,2026-05-05,2026-04-16,"Chitradurga , India",The key intention of ITResearch is to provide opportunity for the global participants to share their ideas and experience in person with their peers expected to join from different parts on the world. In addition this gathering will help the delegates to establish research or business relations as well as to find international linkage for future collaborations in their career path. We hope that ITResearch outcome will lead to significant contributions to the knowledge base in these up-to-date scientific fields in scope.,papers.itresearch@gmail.com,http://itresearch.org.in/Conference/8608/ICACSIT/,Conference Coordinator,Itresearch,"₹2,336 (Special price for India)"
05May,International Conference on Advances in Software and Computing Technologies (ICASCT),"Bhavnagar,India",https://www.conferencealerts.in/events/2077199,CA2077199,2026-05-05,2026-05-05,2026-04-16,"Bhavnagar , India",The key intention of ICASCT is to provide opportunity for the global participants to share their ideas and experience in person with their peers expected to join from different parts on the world. In addition this gathering will help the delegates to establish research or business relations as well as to find international linkage for future collaborations in their career path. We hope that ICASCT outcome will lead to significant contributions to the knowledge base in these up-to-date scientific fields in scope.,papers.scienceglobe@gmail.com,http://scienceglobe.org/Conference/25944/ICASCT/,Conference Coordinator,Scienceglobe,"₹3,738 (Special price for India)"
05May,"International Conference on Recent Innovations in Computer Science, Engineering and Technology (ICRICSET)","Mumbai,India",https://www.conferencealerts.in/events/2076499,CA2076499,2026-05-05,2026-05-06,2026-04-16,"Mumbai , India","The ICRICSET conference is an international forum for the presentation of technological advances and research results in the fields of Recent Innovations in Computer Science, Engineering and Technology. The conference will bring together leading researchers, engineers and scientists in the domain of interest from around the world. We warmly welcome previous and prospected authors submit your new research papers to ICRICSET, and share the valuable experiences with the scientist and scholars around the world.",papers.scienceplus@gmail.com,http://scienceplus.us/Conference/42726/ICRICSET/,Conference Coordinator,scienceplus,"₹3,270 (Special price for India)"
05May,"International Conference on Recent Innovations in Computer Science, Engineering and Technology (ICRICSET)","Pune,India",https://www.conferencealerts.in/events/2076491,CA2076491,2026-05-05,2026-05-06,2026-04-16,"Pune , India","The ICRICSET conference is an international forum for the presentation of technological advances and research results in the fields of Recent Innovations in Computer Science, Engineering and Technology. The conference will bring together leading researchers, engineers and scientists in the domain of interest from around the world. We warmly welcome previous and prospected authors submit your new research papers to ICRICSET, and share the valuable experiences with the scientist and scholars around the world.",papers.scienceplus@gmail.com,http://scienceplus.us/Conference/42734/ICRICSET/,Conference Coordinator,scienceplus,"₹3,270 (Special price for India)"
05May,"International Conference on Computer Science, Machine Learning and Big Data (ICCSMLBD)","Ranchi,India",https://www.conferencealerts.in/events/2065346,CA2065346,2026-05-05,2026-05-06,2026-04-16,"Ranchi , India","ICCSMLBD is a prestigious event organizedwith a motivation to provide an excellent international platform for the academicians, researchers, engineers,industrial participants and budding students around the world to SHARE their research findings with the global experts.",info.wrfase@gmail.com,http://wrfase.org/Conference/20352/ICCSMLBD/,Conference Coordinator,Wrfase,"₹3,738 (Special price for India)"
